,Id numeric,Id text,Sample name,Sampled date,Sampling start,Sampling end,Testname,Component name,Wnsident,Result text,Units,Result status,Dig rap,Pdf rap,Order number
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889252System.Drawing.Bitmap,889252,22-125371,NL14_20930,9/30/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889253System.Drawing.Bitmap,889253,22-125372,NL14_20930,9/27/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889254System.Drawing.Bitmap,889254,22-125373,NL14_20930,9/23/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889254System.Drawing.Bitmap,889254,22-125373,NL14_20930,9/23/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889254System.Drawing.Bitmap,889254,22-125373,NL14_20930,9/23/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889254System.Drawing.Bitmap,889254,22-125373,NL14_20930,9/23/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889254System.Drawing.Bitmap,889254,22-125373,NL14_20930,9/23/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
