,Id numeric,Id text,Sample name,Sampled date,Sampling start,Sampling end,Testname,Component name,Wnsident,Result text,Units,Result status,Dig rap,Pdf rap,Order number
    889266System.Drawing.Bitmap,889266,22-125385,NL14_20930,8/12/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889266System.Drawing.Bitmap,889266,22-125385,NL14_20930,8/12/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889266System.Drawing.Bitmap,889266,22-125385,NL14_20930,8/12/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889266System.Drawing.Bitmap,889266,22-125385,NL14_20930,8/12/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889267System.Drawing.Bitmap,889267,22-125386,NL14_20930,8/9/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889268System.Drawing.Bitmap,889268,22-125387,NL14_20930,8/5/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889268System.Drawing.Bitmap,889268,22-125387,NL14_20930,8/5/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889268System.Drawing.Bitmap,889268,22-125387,NL14_20930,8/5/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889268System.Drawing.Bitmap,889268,22-125387,NL14_20930,8/5/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
